data:text/csv;charset=utf-8,Id,metric_alias_metrics_view_graph_0,metric_alias_metrics_view_graph_1
StatusCode,Complete,Complete
Messages,,
Full label,eu-north-1:AWS/SQS QueueName:resultQueue NumberOfMessagesSent Sum 60,eu-north-1:AWS/SQS QueueName:subPopQueue NumberOfMessagesSent Sum 60
Label,NumberOfMessagesSent,NumberOfMessagesSent
2024/08/08 21:11:00,0,0
2024/08/08 21:12:00,0,0
2024/08/08 21:13:00,0,0
2024/08/08 21:14:00,0,0
2024/08/08 21:15:00,0,0
2024/08/08 21:16:00,0,0
2024/08/08 21:17:00,0,0
2024/08/08 21:18:00,0,0
2024/08/08 21:19:00,0,0
2024/08/08 21:20:00,0,0
2024/08/08 21:21:00,0,0
2024/08/08 21:22:00,0,0
2024/08/08 21:23:00,0,0
2024/08/08 21:24:00,40,40
2024/08/08 21:25:00,80,80
2024/08/08 21:26:00,60,60
2024/08/08 21:27:00,20,20
2024/08/08 21:28:00,0,0
2024/08/08 21:29:00,0,0
2024/08/08 21:30:00,0,0
2024/08/08 21:31:00,0,0
2024/08/08 21:32:00,0,0
2024/08/08 21:33:00,0,0
2024/08/08 21:34:00,0,0
2024/08/08 21:35:00,0,0
2024/08/08 21:36:00,0,0
2024/08/08 21:37:00,0,0
2024/08/08 21:38:00,0,0
2024/08/08 21:39:00,0,0
2024/08/08 21:40:00,0,0
2024/08/08 21:41:00,0,0
2024/08/08 21:42:00,0,0
2024/08/08 21:43:00,0,0
2024/08/08 21:44:00,0,0
2024/08/08 21:45:00,0,0
2024/08/08 21:46:00,0,0
2024/08/08 21:47:00,0,0
2024/08/08 21:48:00,0,0
2024/08/08 21:49:00,0,0
2024/08/08 21:50:00,0,0
2024/08/08 21:51:00,0,0
2024/08/08 21:52:00,0,0
2024/08/08 21:53:00,0,0
2024/08/08 21:54:00,0,0
2024/08/08 21:55:00,0,0
2024/08/08 21:56:00,0,0
2024/08/08 21:57:00,0,0
2024/08/08 21:58:00,0,0
2024/08/08 21:59:00,0,0
2024/08/08 22:00:00,0,0
2024/08/08 22:01:00,0,0
2024/08/08 22:02:00,0,0
2024/08/08 22:03:00,0,0
2024/08/08 22:04:00,0,0
2024/08/08 22:05:00,0,0
2024/08/08 22:06:00,0,0
2024/08/08 22:07:00,0,0
2024/08/08 22:08:00,0,0
2024/08/08 22:09:00,0,0
